C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
"D. Transnational Exchanges (MU) - Import(+ve)/Export(-ve)
Bhutan Nepal Bangladesh
Actual(MU) 4.0 -9.8 -9.7
Day peak (MW) 523.8 -518.6 -759.0
E. Import/export By Regions(in MU) - Import(+ve)/Export(-ve); OD(+)/UD(-)
NR WR SR ER NER TOTAL
Schedule(MU) 252.5 -278.0 114.8 -87.6 -1.6 0.0
Actual(MU) 265.7 -303.4 134.6 -96.5 -0.6 -0.3
O/D/U/D(MU) 13.2 -25.4 19.8 -8.9 1.0 -0.4
F. Generation Outage(MW)
NR WR SR ER NER Total
Central Sector 4973 15813 7752 2310 597 31444
State Sector 13714 15458 9370 5040 11 43593
Total 18687 31270 17122 7350 608 75037
G. Sourcewise generation (MU)
NR WR SR ER NER All India
Coal 521 1221 475 445 15 2678
Lignite 19 13 50 0 0 81
Hydro 118 41 103 33 9 303
Nuclear 29 34 44 0 0 106
Gas, Naptha & Diesel 27 40 17 0 23 108
RES (Wind, Solar, Biomass & Others) 68 81 139 2 0 290
Total 782 1430 828 480 47 3568
Share of RES in total generation (%) 8.67 5.68 16.81 0.34 0.11 8.13
Share of Non-fossil fuel (Hydro, Nuclear and RES) in
27.44 10.90 34.51 7.22 18.67 19.61
total generation (%)
H. All India Demand Diversity Factor
Based on Regional Max Demands 1.026
Based on State Max Demands 1.075
Diversity factor = Sum of regional or state-wise maximum demands / All India maximum demand
*Source: RLDCs for solar connected to ISTS; SLDCs for embedded solar. Limited visibility of embedded solar data.
कार्यपालक निदेशक (रा० भा० प्रे० के०)",,,,,,,,,01.01.20
NR,Punjab,6014,0,120.2,64.2,-1.1,83,1.15,01.01.21
,Haryana,6574,0,133.0,98.6,-0.2,142,0.00,01.01.21
,Rajasthan,13784,0,263.9,94.2,0.9,336,0.00,01.01.21
,Delhi,4634,0,76.0,63.1,1.2,595,0.00,01.01.21
,UP,17968,170,308.7,101.1,-2.8,326,0.07,01.01.21
,Uttarakhand,2203,0,41.8,24.4,0.4,120,0.00,01.01.21
,HP,1880,0,34.2,28.7,0.0,235,0.00,01.01.21
,J&K(UT) & Ladakh(UT),2919,550,56.4,48.6,1.9,561,11.20,01.01.21
,Chandigarh,273,0,4.4,4.2,0.2,24,0.00,01.01.21
WR,Chhattisgarh,4084,28,87.7,33.7,0.6,391,0.10,01.01.21
,Gujarat,16758,0,337.0,64.2,2.0,901,0.00,01.01.21
,MP,15447,0,300.8,172.2,0.7,387,0.00,01.01.21
,Maharashtra,23125,0,453.7,164.2,4.2,721,0.00,01.01.21
,Goa,488,0,10.4,9.6,0.3,45,0.00,01.01.21
,DD,315,0,7.1,6.9,0.2,40,0.00,01.01.21
,DNH,808,0,18.8,18.7,0.1,42,0.00,01.01.21
,AMNSIL,848,0,19.2,11.0,0.4,258,0.00,01.01.21
SR,Andhra Pradesh,8934,0,162.6,73.1,0.6,541,0.00,01.01.21
,Telangana,11316,0,208.6,91.2,-0.8,780,0.00,01.01.21
,Karnataka,11331,0,212.3,75.7,-1.0,643,0.00,01.01.21
,Kerala,3531,0,72.9,50.5,-0.5,247,0.00,01.01.21
,Tamil Nadu,12899,0,264.8,152.2,-1.1,555,0.00,01.01.21
,Puducherry,347,0,6.7,7.0,-0.3,39,0.00,01.01.21
ER,Bihar,5003,0,87.2,86.8,-1.2,208,0.00,01.01.21
,DVC,3109,0,66.7,-41.1,-0.3,282,0.00,01.01.21
,Jharkhand,1597,149,27.2,22.3,-2.2,128,0.45,01.01.21
,Odisha,4404,0,81.1,10.9,0.0,533,0.00,01.01.21
,West Bengal,6281,0,116.9,15.3,0.1,571,0.00,01.01.21
,Sikkim,128,0,2.1,1.9,0.2,47,0.00,01.01.21
NER,Arunachal Pradesh,133,1,2.2,2.3,-0.3,39,0.01,01.01.21
,Assam,1423,22,24.3,19.2,0.1,102,0.55,01.01.21
,Manipur,248,2,3.1,3.5,-0.4,29,0.01,01.01.21
,Meghalaya,386,0,6.8,4.3,0.1,51,0.00,01.01.21
,Mizoram,105,2,1.6,1.6,-0.4,44,0.01,01.01.21
,Nagaland,142,1,2.3,2.3,-0.2,23,0.01,01.01.21
,Tripura,217,0,3.7,3.0,-0.4,59,0.00,01.01.21
NR,Punjab,7182,0,131.6,74.2,-2.1,91,0.00,01.01.22
,Haryana,6988,0,127.4,72.9,0.4,206,0.00,01.01.22
,Rajasthan,15034,0,267.5,78.7,-1.5,360,0.00,01.01.22
,Delhi,4470,0,70.5,58.7,-0.6,206,0.00,01.01.22
,UP,17953,0,318.2,92.8,0.0,446,0.00,01.01.22
,Uttarakhand,2239,0,40.2,27.7,0.2,180,0.00,01.01.22
,HP,1907,0,35.3,28.6,-0.3,147,0.00,01.01.22
,J&K(UT) & Ladakh(UT),2881,300,60.4,56.4,-0.8,262,4.65,01.01.22
,Chandigarh,233,0,3.8,3.8,0.0,40,0.00,01.01.22
